"","botid","timestamp","coordinates_long","coordinates_lat","quality","coordinates_lat_end","coordinates_long_end"
"185","6D100",1501507496,24.719359,59.418093,4,59.4179115,24.7202265
"186","6D100",1501507565,24.7202516666667,59.4179053333333,4,59.417789,24.720988
"187","6D100",1501507649,24.720988,59.417789,3,59.4176983333333,24.7212526666667
"188","6D100",1501507745,24.721251,59.417697,3,59.4175005,24.7219355
"189","6D100",1501507807,24.7219495,59.4174965,4,59.4173845,24.7224435
"190","6D100",1501507893,24.7224565,59.417382,4,59.417232,24.7231165
"191","6D100",1501507966,24.7231395,59.417227,4,59.417069,24.7238395
"192","6D100",1501508059,24.723865,59.4170626666667,4,59.416873,24.724674
"193","6D100",1501508145,24.724674,59.416873,4,59.4167035,24.7254185
"194","6D100",1501508244,24.725429,59.416701,4,59.416541,24.7261555
"195","6D100",1501508320,24.726181,59.416535,4,59.416323,24.7271035
"196","6D100",1501508396,24.727116,59.4163205,4,59.416155,24.7278545
"197","6D100",1501508479,24.72786,59.4161535,4,59.41599,24.72858
"198","6D100",1501508561,24.72858,59.41599,4,59.41584,24.7292485
"199","6D100",1501508638,24.7292685,59.4158355,3,59.4156896666667,24.729904
"200","6D100",1501508718,24.729926,59.4156783333333,4,59.415317,24.7314475
"201","6D100",1501508778,24.731464,59.415313,3,59.4153145,24.732108
"202","6D100",1501508848,24.732103,59.4153256666667,4,59.4161043333333,24.7317393333333
"203","6D100",1501508908,24.7317355,59.416113,4,59.4169365,24.7313475
"204","6D100",1501508968,24.7313405,59.416951,4,59.417577,24.731054
"205","6D100",1501509048,24.731048,59.417588,4,59.418405,24.7306815
"206","6D100",1501509108,24.7306755,59.4184195,4,59.419029,24.730381
"207","6D100",1501509177,24.730375,59.419043,4,59.419511,24.730159
"208","6D100",1501509244,24.730154,59.419522,4,59.4199905,24.7299305
"209","6D100",1501509343,24.729924,59.420004,4,59.420511,24.7296985
"210","6D100",1501509403,24.729692,59.420525,3,59.420783,24.729552
"211","6D100",1501509521,24.729546,59.420797,4,59.4213,24.7292975
"212","6D100",1501509620,24.729291,59.4213115,4,59.422096,24.728609
"213","6D100",1501509680,24.7285895,59.422111,4,59.4227443333333,24.7274726666667
"214","6D100",1501509740,24.727451,59.422752,4,59.422983,24.72697
"215","6D100",1501509884,24.7269545,59.4229895,4,59.423256,24.726404
"216","6D100",1501510001,24.7263875,59.4232585,4,59.422987,24.72573
"217","6D100",1501510102,24.725728,59.422988,4,59.4226235,24.7254425
"218","6D100",1501510221,24.7254285,59.422611,4,59.4222925,24.725157
"219","6D100",1501510350,24.725147,59.4222785,3,59.4219975,24.726054
"220","6D100",1501510411,24.7260793333333,59.4219903333333,4,59.421661,24.7268155
"221","6D100",1501510481,24.726835,59.4216485,4,59.421391,24.7271565
"222","6D100",1501510589,24.7271675,59.4213775,4,59.42061,24.7275095
"223","6D100",1501510649,24.7275045,59.4206035,4,59.420505,24.7266975
"224","6D100",1501510725,24.726678,59.420504,4,59.420657,24.7257675
