botid,timestamp,coordinates_long,coordinates_lat,heading,stdev
6E5,1499097875.962,24.660157,59.400482,-0.524071,0.029346
6E5,1499097876.368,24.660151,59.400487,-0.527618,0.033136
6E5,1499097876.922,24.660143,59.400494,-0.529057,0.032788
6E5,1499097877.456,24.660138,59.400498,-0.527785,0.024171
6E5,1499097877.945,24.660132,59.400503,-0.527172,0.022345
6E5,1499097878.231,24.660129,59.400506,-0.527334,0.026163
6E5,1499097878.821,24.660127,59.400509,-0.522392,0.025087
6E5,1499097879.255,24.660122,59.400513,-0.514229,0.030043
6E5,1499097879.777,24.660116,59.400518,-0.508726,0.023396
6E5,1499097879.851,24.660116,59.400518,-0.508622,0.024335
6E5,1499097880.346,24.660113,59.40052,-0.511246,0.019842
6E5,1499097880.867,24.660108,59.400525,-0.52027,0.023117
6E5,1499097881.389,24.660106,59.400527,-0.527914,0.024973
6E5,1499097881.931,24.660103,59.40053,-0.535005,0.02184
6E5,1499097882.149,24.660102,59.40053,-0.533516,0.015592
6E5,1499097882.638,24.660102,59.400531,-0.536413,0.008965
6E5,1499097883.847,24.660102,59.40053,-0.536595,0.009036
6E5,1499097884.186,24.660102,59.40053,-0.536597,0.009036
6E5,1499097884.606,24.660102,59.40053,-0.536728,0.009045
6E5,1499097887.805,24.660102,59.40053,-0.536744,0.009045
6E5,1499097888.300,24.660102,59.40053,-0.518389,0.014584
6E5,1499097888.897,24.660098,59.400534,-0.50006,0.025265
6E5,1499097889.171,24.660095,59.400536,-0.496443,0.030756
6E5,1499097889.174,24.660093,59.400538,-0.514056,0.033363
6E5,1499097889.781,24.660088,59.400543,-0.505351,0.033011
6E5,1499097890.262,24.660079,59.400551,-0.48898,0.033906
6E5,1499097890.804,24.660074,59.400557,-0.489403,0.03403
6E5,1499097890.821,24.660071,59.40056,-0.489616,0.035587
6E5,1499097891.302,24.660065,59.400565,-0.489525,0.037052
6E5,1499097891.916,24.660057,59.400573,-0.486354,0.035402
6E5,1499097891.987,24.660055,59.400575,-0.484248,0.033428
6E5,1499097892.580,24.66005,59.40058,-0.459916,0.028031
6E5,1499097893.027,24.66005,59.400581,-0.454634,0.011082
6E5,1499097893.552,24.66005,59.40058,-0.455507,0.011098
6E5,1499097893.697,24.660051,59.40058,-0.457991,0.01137
6E5,1499097894.232,24.66005,59.40058,-0.465798,0.015614
6E5,1499097894.729,24.660049,59.400581,-0.464589,0.013615
6E5,1499097895.282,24.660046,59.400584,-0.45319,0.016937
6E5,1499097895.799,24.660043,59.400587,-0.461081,0.019544
6E5,1499097896.297,24.660039,59.400591,-0.45243,0.02574
6E5,1499097896.756,24.660035,59.400595,-0.444194,0.027141
6E5,1499097897.296,24.660028,59.400602,-0.460794,0.028596
6E5,1499097897.832,24.660023,59.400607,-0.472537,0.029153
6E5,1499097898.264,24.660015,59.400615,-0.4794,0.034611
6E5,1499097898.799,24.660007,59.400623,-0.483611,0.03695
6E5,1499097899.375,24.660002,59.400628,-0.497227,0.031687
6E5,1499097899.896,24.659994,59.400636,-0.509319,0.03546
6E5,1499097900.317,24.659988,59.400641,-0.516841,0.03269
6E5,1499097900.933,24.65998,59.400649,-0.518606,0.036426
6E5,1499097901.361,24.659974,59.400654,-0.520517,0.031884
6E5,1499097901.984,24.659965,59.400662,-0.521964,0.031794
6E5,1499097902.494,24.659957,59.400669,-0.522579,0.031914
6E5,1499097902.497,24.659957,59.400669,-0.522552,0.033524
6E5,1499097903.058,24.659948,59.400677,-0.523177,0.030216
6E5,1499097903.592,24.659942,59.400682,-0.52305,0.034984
6E5,1499097904.077,24.659933,59.40069,-0.523386,0.031128
6E5,1499097904.660,24.659925,59.400697,-0.523204,0.029181
6E5,1499097905.110,24.659919,59.400702,-0.524136,0.036059
6E5,1499097905.593,24.65991,59.40071,-0.523202,0.033216
6E5,1499097905.805,24.65991,59.40071,-0.523166,0.027495
6E5,1499097906.208,24.659902,59.400717,-0.524152,0.034474
6E5,1499097906.842,24.659896,59.400722,-0.523459,0.034435
6E5,1499097907.350,24.659887,59.40073,-0.525773,0.029619
6E5,1499097907.879,24.659878,59.400738,-0.527475,0.029904
6E5,1499097907.892,24.659878,59.400738,-0.526012,0.033125
6E5,1499097908.518,24.65987,59.400745,-0.523081,0.027534
6E5,1499097908.965,24.659864,59.40075,-0.524905,0.0331
6E5,1499097909.501,24.659855,59.400758,-0.521352,0.032477
6E5,1499097910.057,24.659847,59.400766,-0.520312,0.029698
6E5,1499097910.461,24.659841,59.400771,-0.522709,0.034747
6E5,1499097910.513,24.659841,59.400771,-0.522709,0.034747
6E5,1499097911.077,24.659832,59.400778,-0.52471,0.030398
6E5,1499097911.609,24.659826,59.400783,-0.530123,0.028891
6E5,1499097912.102,24.659818,59.400791,-0.534969,0.031402
6E5,1499097912.620,24.659812,59.400796,-0.536076,0.032534
6E5,1499097913.162,24.659803,59.400803,-0.53911,0.032153
6E5,1499097913.656,24.659794,59.400811,-0.536794,0.032533
6E5,1499097914.180,24.659788,59.400816,-0.536753,0.033071
6E5,1499097914.253,24.659785,59.400818,-0.535374,0.030628
6E5,1499097914.777,24.65978,59.400824,-0.542604,0.030208
6E5,1499097915.321,24.659771,59.400831,-0.547127,0.030602
6E5,1499097915.860,24.659762,59.400839,-0.548791,0.030764
6E5,1499097916.293,24.659756,59.400843,-0.550256,0.033163
6E5,1499097916.849,24.659747,59.400851,-0.551997,0.033938
6E5,1499097917.293,24.659741,59.400856,-0.553398,0.031812
6E5,1499097917.852,24.659731,59.400863,-0.554482,0.031316
6E5,1499097917.901,24.659731,59.400863,-0.554594,0.032898
6E5,1499097918.380,24.659722,59.40087,-0.544067,0.026931
6E5,1499097919.006,24.659717,59.400876,-0.537126,0.034202
6E5,1499097919.488,24.659708,59.400884,-0.531592,0.029687
6E5,1499097920.072,24.659702,59.400889,-0.525772,0.029883
6E5,1499097920.257,24.659695,59.400893,-0.526359,0.0343
6E5,1499097920.770,24.659691,59.400899,-0.543198,0.031132
6E5,1499097921.299,24.659685,59.400907,-0.55367,0.027957
6E5,1499097921.822,24.659678,59.400912,-0.563044,0.028248
6E5,1499097922.306,24.659667,59.400919,-0.565709,0.028246
6E5,1499097922.865,24.659656,59.400925,-0.567463,0.028826
6E5,1499097923.295,24.65965,59.40093,-0.566961,0.026527
6E5,1499097923.299,24.65965,59.40093,-0.566724,0.027976
6E5,1499097923.930,24.659643,59.400936,-0.526674,0.027073
6E5,1499097924.381,24.659638,59.40094,-0.490985,0.027934
6E5,1499097924.962,24.659632,59.400946,-0.466319,0.024937
6E5,1499097925.381,24.659629,59.40095,-0.446425,0.022385
6E5,1499097925.897,24.659625,59.400953,-0.433002,0.018651
6E5,1499097926.412,24.659623,59.400955,-0.367626,0.022066
6E5,1499097926.942,24.65962,59.40096,-0.32557,0.01827
6E5,1499097927.361,24.659617,59.400963,-0.301325,0.02466
6E5,1499097927.943,24.659613,59.400968,-0.288522,0.025945
6E5,1499097928.528,24.659609,59.400974,-0.286284,0.022799
6E5,1499097928.611,24.659609,59.400974,-0.285826,0.020353
6E5,1499097929.164,24.659607,59.400979,-0.203466,0.020222
6E5,1499097929.642,24.659606,59.400982,-0.142261,0.023479
6E5,1499097930.162,24.659605,59.400989,-0.091814,0.024586
6E5,1499097930.231,24.659605,59.400989,-0.090828,0.025762
6E5,1499097930.742,24.659604,59.400994,-0.029261,0.018682
6E5,1499097931.298,24.659605,59.400995,0.065648,0.013818
6E5,1499097931.812,24.659605,59.400995,0.194751,0.018646
6E5,1499097932.302,24.659607,59.400997,0.248511,0.018816
6E5,1499097932.782,24.659609,59.400999,0.295543,0.021875
6E5,1499097933.305,24.659609,59.401003,0.508608,0.018765
6E5,1499097933.856,24.659612,59.401007,0.605077,0.024654
6E5,1499097934.352,24.659617,59.40101,0.675061,0.024859
6E5,1499097934.821,24.659623,59.401015,0.713323,0.025988
6E5,1499097935.314,24.659629,59.401018,0.771329,0.02647
